"DatePosted","CVE","BulletinKB","Title","AffectedProduct","AffectedComponent","Severity","Impact","Exploits"
"20140610","CVE-2014-1769","2957689","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Microsoft Internet Explorer 6.0","Critical","Remote Code Execution","https://exploit-db.com/exploits/34010"
"20120921","CVE-2012-1529","2744842","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Microsoft Internet Explorer 6.0","Critical","Remote Code Execution",""
"20120921","CVE-2012-1529","2744842","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Microsoft Internet Explorer 6.0","Critical","Remote Code Execution",""
"20120921","CVE-2012-1529","2744842","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Windows Internet Explorer 7","Critical","Remote Code Execution",""
"20120921","CVE-2012-1529","2744842","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Windows Internet Explorer 7","Critical","Remote Code Execution",""
"20120921","CVE-2012-1529","2744842","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Windows Internet Explorer 8","Critical","Remote Code Execution",""
"20120814","CVE-2012-1853","2705219","Vulnerabilities in Windows Networking Components Could Allow Remote Code Execution","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","","Critical","Remote Code Execution",""
"20120814","CVE-2012-1853","2705219","Vulnerabilities in Windows Networking Components Could Allow Remote Code Execution","Microsoft Windows Server 2003 x64 Edition Service Pack 2","","Critical","Remote Code Execution",""
"20120814","CVE-2012-1853","2712808","Vulnerabilities in Windows Networking Components Could Allow Remote Code Execution","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","","Critical","Remote Code Execution",""
"20120814","CVE-2012-1853","2712808","Vulnerabilities in Windows Networking Components Could Allow Remote Code Execution","Microsoft Windows Server 2003 x64 Edition Service Pack 2","","Critical","Remote Code Execution",""
"20100810","CVE-2010-1882","2115168","Vulnerability in Microsoft MPEG Layer-3 Codecs Could Allow Remote Code Execution","Microsoft Windows Server 2003 x64 Edition Service Pack 2","","Critical","Remote Code Execution",""
"20081111","CVE-2008-4029","954430","Vulnerabilities in Microsoft XML Core Services Could Allow Remote Code Execution","Microsoft Windows Server 2003 x64 Edition","Microsoft XML Core Services 4.0","Critical","Remote Code Execution","https://exploit-db.com/exploits/7196"
"20081111","CVE-2008-4029","954430","Vulnerabilities in Microsoft XML Core Services Could Allow Remote Code Execution","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Microsoft XML Core Services 4.0","Critical","Remote Code Execution","https://exploit-db.com/exploits/7196"
"20081111","CVE-2008-4029","954430","Vulnerabilities in Microsoft XML Core Services Could Allow Remote Code Execution","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 1","Microsoft XML Core Services 4.0","Critical","Remote Code Execution","https://exploit-db.com/exploits/7196"
"20081111","CVE-2008-4029","954430","Vulnerabilities in Microsoft XML Core Services Could Allow Remote Code Execution","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Microsoft XML Core Services 4.0","Critical","Remote Code Execution","https://exploit-db.com/exploits/7196"
"20081111","CVE-2008-4029","954459","Vulnerabilities in Microsoft XML Core Services Could Allow Remote Code Execution","Microsoft Windows Server 2003 x64 Edition","Microsoft XML Core Services 6.0","Critical","Remote Code Execution","https://exploit-db.com/exploits/7196"
"20081111","CVE-2008-4029","954459","Vulnerabilities in Microsoft XML Core Services Could Allow Remote Code Execution","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Microsoft XML Core Services 6.0","Critical","Remote Code Execution","https://exploit-db.com/exploits/7196"
"20081111","CVE-2008-4029","954459","Vulnerabilities in Microsoft XML Core Services Could Allow Remote Code Execution","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 1","Microsoft XML Core Services 6.0","Critical","Remote Code Execution","https://exploit-db.com/exploits/7196"
"20081111","CVE-2008-4029","954459","Vulnerabilities in Microsoft XML Core Services Could Allow Remote Code Execution","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Microsoft XML Core Services 6.0","Critical","Remote Code Execution","https://exploit-db.com/exploits/7196"
"20140610","CVE-2014-1784","2957689","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Windows Internet Explorer 7","Critical","Remote Code Execution","https://exploit-db.com/exploits/34010"
"20140610","CVE-2014-1784","2957689","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Windows Internet Explorer 7","Critical","Remote Code Execution","https://exploit-db.com/exploits/34010"
"20140610","CVE-2014-1784","2957689","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Windows Internet Explorer 8","Critical","Remote Code Execution","https://exploit-db.com/exploits/34010"
"20140610","CVE-2014-1784","2957689","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Microsoft Internet Explorer 6.0","Critical","Remote Code Execution","https://exploit-db.com/exploits/34010"
"20140610","CVE-2014-1784","2957689","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Microsoft Internet Explorer 6.0","Critical","Remote Code Execution","https://exploit-db.com/exploits/34010"
"20140812","CVE-2014-2818","2976627","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Microsoft Internet Explorer 6.0","Critical","Remote Code Execution",""
"20140812","CVE-2014-2818","2976627","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Microsoft Internet Explorer 6.0","Critical","Remote Code Execution",""
"20140812","CVE-2014-2818","2976627","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Windows Internet Explorer 7","Critical","Remote Code Execution",""
"20140812","CVE-2014-2818","2976627","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Windows Internet Explorer 7","Critical","Remote Code Execution",""
"20140812","CVE-2014-2818","2976627","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Windows Internet Explorer 8","Critical","Remote Code Execution",""
"20110614","CVE-2011-1264","2518295","Vulnerability in Active Directory Certificate Services Web Enrollment Could Allow Elevation of Privilege","Microsoft Windows Server 2003 x64 Edition Service Pack 2","","Important","Elevation of Privilege",""
"20140610","CVE-2014-1795","2957689","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Windows Internet Explorer 7","Critical","Remote Code Execution","https://exploit-db.com/exploits/34010"
"20140610","CVE-2014-1795","2957689","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Windows Internet Explorer 7","Critical","Remote Code Execution","https://exploit-db.com/exploits/34010"
"20140610","CVE-2014-1795","2957689","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Windows Internet Explorer 8","Critical","Remote Code Execution","https://exploit-db.com/exploits/34010"
"20140610","CVE-2014-1795","2957689","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Microsoft Internet Explorer 6.0","Critical","Remote Code Execution","https://exploit-db.com/exploits/34010"
"20140610","CVE-2014-1795","2957689","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Microsoft Internet Explorer 6.0","Critical","Remote Code Execution","https://exploit-db.com/exploits/34010"
"20150714","CVE-2015-2382","3070102","Vulnerabilities in Windows Kernel-Mode Driver Could Allow Elevation of Privilege","Microsoft Windows Server 2003 x64 Edition Service Pack 2","","Important","Elevation of Privilege",""
"20150714","CVE-2015-2382","3070102","Vulnerabilities in Windows Kernel-Mode Driver Could Allow Elevation of Privilege","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","","Important","Elevation of Privilege",""
"20150714","CVE-2015-2413","3065822","Security Update for Internet Explorer","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Microsoft Internet Explorer 6.0","Critical","Remote Code Execution",""
"20150714","CVE-2015-2413","3065822","Security Update for Internet Explorer","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Microsoft Internet Explorer 6.0","Critical","Remote Code Execution",""
"20150714","CVE-2015-2413","3065822","Security Update for Internet Explorer","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Windows Internet Explorer 7","Critical","Remote Code Execution",""
"20150714","CVE-2015-2413","3065822","Security Update for Internet Explorer","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Windows Internet Explorer 7","Critical","Remote Code Execution",""
"20150714","CVE-2015-2413","3065822","Security Update for Internet Explorer","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Windows Internet Explorer 8","Critical","Remote Code Execution",""
"20131210","CVE-2013-5056","2892075","Vulnerability in Microsoft Scripting Runtime Object Library Could Allow Remote Code Execution","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Windows Script 5.7","Critical","Remote Code Execution",""
"20131210","CVE-2013-5056","2892075","Vulnerability in Microsoft Scripting Runtime Object Library Could Allow Remote Code Execution","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Windows Script 5.7","Critical","Remote Code Execution",""
"20131210","CVE-2013-5056","2892076","Vulnerability in Microsoft Scripting Runtime Object Library Could Allow Remote Code Execution","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Windows Script 5.6","Critical","Remote Code Execution",""
"20131210","CVE-2013-5056","2892076","Vulnerability in Microsoft Scripting Runtime Object Library Could Allow Remote Code Execution","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Windows Script 5.6","Critical","Remote Code Execution",""
"20121113","CVE-2012-1895","2737019","Vulnerabilities in .NET Framework Could Allow Remote Code Execution","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Microsoft .NET Framework 4","Critical","Remote Code Execution",""
"20121113","CVE-2012-1895","2737019","Vulnerabilities in .NET Framework Could Allow Remote Code Execution","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Microsoft .NET Framework 4","Critical","Remote Code Execution",""
"20121113","CVE-2012-1895","2729450","Vulnerabilities in .NET Framework Could Allow Remote Code Execution","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Microsoft .NET Framework 2.0 Service Pack 2","Critical","Remote Code Execution",""
"20121113","CVE-2012-1895","2729450","Vulnerabilities in .NET Framework Could Allow Remote Code Execution","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Microsoft .NET Framework 2.0 Service Pack 2","Critical","Remote Code Execution",""
"20121113","CVE-2012-1895","2729449","Vulnerabilities in .NET Framework Could Allow Remote Code Execution","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Microsoft .NET Framework 4","Critical","Remote Code Execution",""
"20121113","CVE-2012-1895","2729449","Vulnerabilities in .NET Framework Could Allow Remote Code Execution","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Microsoft .NET Framework 4","Critical","Remote Code Execution",""
"20091208","CVE-2009-3675","974392","Vulnerability in Local Security Authority Subsystem Service Could Allow Denial of Service","Microsoft Windows Server 2003 x64 Edition Service Pack 2","","Important","Denial of Service",""
"20091208","CVE-2009-3675","974392","Vulnerability in Local Security Authority Subsystem Service Could Allow Denial of Service","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","","Important","Denial of Service",""
"20110208","CVE-2011-0039","2478960","Vulnerability in Local Security Authority Subsystem Service Could Allow Local Elevation of Privilege","Microsoft Windows Server 2003 x64 Edition Service Pack 2","","Important","Elevation of Privilege",""
"20140812","CVE-2014-4051","2976627","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Microsoft Internet Explorer 6.0","Critical","Remote Code Execution",""
"20140812","CVE-2014-4051","2976627","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Microsoft Internet Explorer 6.0","Critical","Remote Code Execution",""
"20140812","CVE-2014-4051","2976627","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Windows Internet Explorer 7","Critical","Remote Code Execution",""
"20140812","CVE-2014-4051","2976627","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Windows Internet Explorer 7","Critical","Remote Code Execution",""
"20140812","CVE-2014-4051","2976627","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Windows Internet Explorer 8","Critical","Remote Code Execution",""
"20150113","CVE-2015-0004","3021674","Vulnerability in Windows User Profile Service Could Allow Elevation of Privilege","Microsoft Windows Server 2003 x64 Edition Service Pack 2","","Important","Elevation of Privilege","https://code.google.com/p/google-security-research/issues/detail?id=123, https://exploit-db.com/exploits/35811"
"20150113","CVE-2015-0004","3021674","Vulnerability in Windows User Profile Service Could Allow Elevation of Privilege","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","","Important","Elevation of Privilege","https://code.google.com/p/google-security-research/issues/detail?id=123, https://exploit-db.com/exploits/35811"
"20081209","CVE-2008-3009","952069","Vulnerabilities in Windows Media Components Could Allow Remote Code Execution","Microsoft Windows Server 2003 x64 Edition","Windows Media Format Runtime 9.5","Important","Remote Code Execution",""
"20081209","CVE-2008-3009","952069","Vulnerabilities in Windows Media Components Could Allow Remote Code Execution","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Windows Media Format Runtime 9.5","Important","Remote Code Execution",""
"20081209","CVE-2008-3009","952069","Vulnerabilities in Windows Media Components Could Allow Remote Code Execution","Microsoft Windows Server 2003 x64 Edition","Windows Media Format Runtime","Important","Remote Code Execution",""
"20081209","CVE-2008-3009","952069","Vulnerabilities in Windows Media Components Could Allow Remote Code Execution","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Windows Media Format Runtime","Important","Remote Code Execution",""
"20090811","CVE-2009-1544","971657","Vulnerability in Workstation Service Could Allow Elevation of Privilege","Microsoft Windows Server 2003 x64 Edition Service Pack 2","","Important","Elevation of Privilege",""
"20090811","CVE-2009-1544","971657","Vulnerability in Workstation Service Could Allow Elevation of Privilege","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","","Important","Elevation of Privilege",""
"20150310","CVE-2015-1637","3046049","Vulnerability in Schannel Could Allow Security Feature Bypass","Microsoft Windows Server 2003 x64 Edition Service Pack 2","","Important","Security Feature Bypass",""
"20150310","CVE-2015-1637","3046049","Vulnerability in Schannel Could Allow Security Feature Bypass","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","","Important","Security Feature Bypass",""
"20100209","CVE-2010-0028","978706","Vulnerability in Microsoft Paint Could Allow Remote Code Execution","Microsoft Windows Server 2003 x64 Edition Service Pack 2","","Moderate","Remote Code Execution","https://exploit-db.com/exploits/12518"
"20100209","CVE-2010-0028","978706","Vulnerability in Microsoft Paint Could Allow Remote Code Execution","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","","Moderate","Remote Code Execution","https://exploit-db.com/exploits/12518"
"20111213","CVE-2011-3406","2621146","Vulnerability in Active Directory Could Allow Remote Code Execution","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Active Directory","Important","Remote Code Execution",""
"20111213","CVE-2011-3406","2621146","Vulnerability in Active Directory Could Allow Remote Code Execution","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Active Directory","Important","Remote Code Execution",""
"20140610","CVE-2014-2756","2957689","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Windows Internet Explorer 7","Critical","Remote Code Execution","https://exploit-db.com/exploits/34010"
"20140610","CVE-2014-2756","2957689","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Windows Internet Explorer 7","Critical","Remote Code Execution","https://exploit-db.com/exploits/34010"
"20140610","CVE-2014-2756","2957689","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Windows Internet Explorer 8","Critical","Remote Code Execution","https://exploit-db.com/exploits/34010"
"20140610","CVE-2014-2756","2957689","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Microsoft Internet Explorer 6.0","Critical","Remote Code Execution","https://exploit-db.com/exploits/34010"
"20140610","CVE-2014-2756","2957689","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Microsoft Internet Explorer 6.0","Critical","Remote Code Execution","https://exploit-db.com/exploits/34010"
"20090414","CVE-2009-0078","952004","Vulnerabilities in Windows Could Allow Elevation of Privilege","Microsoft Windows Server 2003 x64 Edition","","Important","Elevation of Privilege","https://exploit-db.com/exploits/32891"
"20090414","CVE-2009-0078","952004","Vulnerabilities in Windows Could Allow Elevation of Privilege","Microsoft Windows Server 2003 x64 Edition Service Pack 2","","Important","Elevation of Privilege","https://exploit-db.com/exploits/32891"
"20090414","CVE-2009-0078","952004","Vulnerabilities in Windows Could Allow Elevation of Privilege","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 1","","Important","Elevation of Privilege","https://exploit-db.com/exploits/32891"
"20090414","CVE-2009-0078","952004","Vulnerabilities in Windows Could Allow Elevation of Privilege","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","","Important","Elevation of Privilege","https://exploit-db.com/exploits/32891"
"20090414","CVE-2009-0078","956572","Vulnerabilities in Windows Could Allow Elevation of Privilege","Microsoft Windows Server 2003 x64 Edition","","Important","Elevation of Privilege","https://exploit-db.com/exploits/32891"
"20090414","CVE-2009-0078","956572","Vulnerabilities in Windows Could Allow Elevation of Privilege","Microsoft Windows Server 2003 x64 Edition Service Pack 2","","Important","Elevation of Privilege","https://exploit-db.com/exploits/32891"
"20090414","CVE-2009-0078","956572","Vulnerabilities in Windows Could Allow Elevation of Privilege","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 1","","Important","Elevation of Privilege","https://exploit-db.com/exploits/32891"
"20090414","CVE-2009-0078","956572","Vulnerabilities in Windows Could Allow Elevation of Privilege","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","","Important","Elevation of Privilege","https://exploit-db.com/exploits/32891"
"20090811","CVE-2008-0015","973507","Vulnerabilities in Microsoft Active Template Library (ATL) Could Allow Remote Code Execution","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Windows ATL Component","Critical","Remote Code Execution","http://isc.sans.org/diary.html?storyid=6733, http://www.csis.dk/dk/nyheder/nyheder.asp?tekstID=799, http://www.iss.net/threats/329.html, https://exploit-db.com/exploits/16615, https://exploit-db.com/exploits/9108"
"20090811","CVE-2008-0015","973507","Vulnerabilities in Microsoft Active Template Library (ATL) Could Allow Remote Code Execution","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Windows ATL Component","Critical","Remote Code Execution","http://isc.sans.org/diary.html?storyid=6733, http://www.csis.dk/dk/nyheder/nyheder.asp?tekstID=799, http://www.iss.net/threats/329.html, https://exploit-db.com/exploits/16615, https://exploit-db.com/exploits/9108"
"20090811","CVE-2008-0015","973815","Vulnerabilities in Microsoft Active Template Library (ATL) Could Allow Remote Code Execution","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Microsoft MSWebDVD ActiveX Control","Critical","Remote Code Execution","http://isc.sans.org/diary.html?storyid=6733, http://www.csis.dk/dk/nyheder/nyheder.asp?tekstID=799, http://www.iss.net/threats/329.html, https://exploit-db.com/exploits/16615, https://exploit-db.com/exploits/9108"
"20090811","CVE-2008-0015","973815","Vulnerabilities in Microsoft Active Template Library (ATL) Could Allow Remote Code Execution","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Microsoft MSWebDVD ActiveX Control","Critical","Remote Code Execution","http://isc.sans.org/diary.html?storyid=6733, http://www.csis.dk/dk/nyheder/nyheder.asp?tekstID=799, http://www.iss.net/threats/329.html, https://exploit-db.com/exploits/16615, https://exploit-db.com/exploits/9108"
"20090811","CVE-2008-0015","973869","Vulnerabilities in Microsoft Active Template Library (ATL) Could Allow Remote Code Execution","Microsoft Windows Server 2003 x64 Edition Service Pack 2","DHTML Editing Component ActiveX Control","Critical","Remote Code Execution","http://isc.sans.org/diary.html?storyid=6733, http://www.csis.dk/dk/nyheder/nyheder.asp?tekstID=799, http://www.iss.net/threats/329.html, https://exploit-db.com/exploits/16615, https://exploit-db.com/exploits/9108"
"20090811","CVE-2008-0015","973869","Vulnerabilities in Microsoft Active Template Library (ATL) Could Allow Remote Code Execution","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","DHTML Editing Component ActiveX Control","Critical","Remote Code Execution","http://isc.sans.org/diary.html?storyid=6733, http://www.csis.dk/dk/nyheder/nyheder.asp?tekstID=799, http://www.iss.net/threats/329.html, https://exploit-db.com/exploits/16615, https://exploit-db.com/exploits/9108"
"20090811","CVE-2008-0015","973540","Vulnerabilities in Microsoft Active Template Library (ATL) Could Allow Remote Code Execution","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Windows Media Player 10","Critical","Remote Code Execution","http://isc.sans.org/diary.html?storyid=6733, http://www.csis.dk/dk/nyheder/nyheder.asp?tekstID=799, http://www.iss.net/threats/329.html, https://exploit-db.com/exploits/16615, https://exploit-db.com/exploits/9108"
"20110712","CVE-2011-1281","2507938","Vulnerabilities in Windows Client/Server Run-time Subsystem Could Allow Elevation of Privilege","Microsoft Windows Server 2003 x64 Edition Service Pack 2","","Important","Elevation of Privilege",""
"20110712","CVE-2011-1281","2507938","Vulnerabilities in Windows Client/Server Run-time Subsystem Could Allow Elevation of Privilege","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","","Important","Elevation of Privilege",""
"20140909","CVE-2014-4072","2972214","Vulnerability in .NET Framework Could Allow Denial of Service","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Microsoft .NET Framework 2.0 Service Pack 2","Important","Denial of Service",""
"20140909","CVE-2014-4072","2973115","Vulnerability in .NET Framework Could Allow Denial of Service","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Microsoft .NET Framework 3.0 Service Pack 2","Important","Denial of Service",""
"20140909","CVE-2014-4072","2972215","Vulnerability in .NET Framework Could Allow Denial of Service","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Microsoft .NET Framework 4","Important","Denial of Service",""
"20140909","CVE-2014-4072","2972215","Vulnerability in .NET Framework Could Allow Denial of Service","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Microsoft .NET Framework 4","Important","Denial of Service",""
"20140909","CVE-2014-4072","2972214","Vulnerability in .NET Framework Could Allow Denial of Service","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Microsoft .NET Framework 2.0 Service Pack 2","Important","Denial of Service",""
"20090811","CVE-2009-2493","973507","Vulnerabilities in Microsoft Active Template Library (ATL) Could Allow Remote Code Execution","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Windows ATL Component","Critical","Remote Code Execution",""
"20090811","CVE-2009-2493","973507","Vulnerabilities in Microsoft Active Template Library (ATL) Could Allow Remote Code Execution","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Windows ATL Component","Critical","Remote Code Execution",""
"20090811","CVE-2009-2493","973815","Vulnerabilities in Microsoft Active Template Library (ATL) Could Allow Remote Code Execution","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Microsoft MSWebDVD ActiveX Control","Critical","Remote Code Execution",""
"20090811","CVE-2009-2493","973815","Vulnerabilities in Microsoft Active Template Library (ATL) Could Allow Remote Code Execution","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Microsoft MSWebDVD ActiveX Control","Critical","Remote Code Execution",""
"20090811","CVE-2009-2493","973869","Vulnerabilities in Microsoft Active Template Library (ATL) Could Allow Remote Code Execution","Microsoft Windows Server 2003 x64 Edition Service Pack 2","DHTML Editing Component ActiveX Control","Critical","Remote Code Execution",""
"20090811","CVE-2009-2493","973869","Vulnerabilities in Microsoft Active Template Library (ATL) Could Allow Remote Code Execution","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","DHTML Editing Component ActiveX Control","Critical","Remote Code Execution",""
"20090811","CVE-2009-2493","973540","Vulnerabilities in Microsoft Active Template Library (ATL) Could Allow Remote Code Execution","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Windows Media Player 10","Critical","Remote Code Execution",""
"20140812","CVE-2014-4052","2976627","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Microsoft Internet Explorer 6.0","Critical","Remote Code Execution",""
"20140812","CVE-2014-4052","2976627","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Microsoft Internet Explorer 6.0","Critical","Remote Code Execution",""
"20140812","CVE-2014-4052","2976627","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Windows Internet Explorer 7","Critical","Remote Code Execution",""
"20140812","CVE-2014-4052","2976627","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Windows Internet Explorer 7","Critical","Remote Code Execution",""
